readcode,readterm,eth16,eth5,medcode
9S43.11,black north african,14. Other Black,2. Black,46812
9SB3.00,"other ethnic, mixed white orig",7. Other Mixed,4. Mixed,35459
9t1A.00,asian/asian british: other asian - ni ethnic cat 2011 census,11. Other Asian,1. South Asian,110425
9t1D.00,black/afri/carib/black brit: other - ni eth cat 2011 census,14. Other Black,2. Black,111880
9iA3.00,east african asian - ethnic category 2001 census,11. Other Asian,1. South Asian,47077
9iA6.00,Sinhalese - ethnic category 2001 census,11. Other Asian,1. South Asian,12887
9i2J.00,Kosovan - ethnic category 2001 census,3. Other White,0. White,26341
9i6..00,Other Mixed background - ethnic category 2001 census,7. Other Mixed,4. Mixed,12873
9SI..00,irish traveller,3. Other White,0. White,47601
134K.00,race: west indian,11. Other Asian,1. South Asian,32095
9t2B.00,asian: other asian group - scotland ethnic cat 2011 census,11. Other Asian,1. South Asian,110855
9iF4.00,Buddhist - ethnic category 2001 census,16. Other ethnic group,3. Other,63872
9t18.00,asian/asian british: bangladeshi - ni ethnic cat 2011 census,10. Bangladeshi,1. South Asian,110720
9t15.00,,7. Other Mixed,4. Mixed,110536
9t0C.00,asian/asian brit: other asian- eng+wales eth cat 2011 census,11. Other Asian,1. South Asian,111743
9t14.00,mixed: white and asian - ni ethnic category 2011 census,6. White and Asian,4. Mixed,110471
9i2R.00,oth white european/european unsp/mixed european 2001 census,3. Other White,0. White,12402
9t0F.00,black/afr/carib/black brit: other black- eng+wales 2011 cens,14. Other Black,2. Black,110540
9t08.00,asian/asian brit: indian - eng+wales ethnic cat 2011 census,8. Indian,1. South Asian,110477
9SA4.11,north african arab (nmo),16. Other ethnic group,3. Other,47285
9i61.00,black and chinese - ethnic category 2001 census,7. Other Mixed,4. Mixed,49940
9S3..00,black african,13. African,2. Black,12778
9i22.00,welsh - ethnic category 2001 census,3. Other White,0. White,12681
9SA..00,Other ethnic non-mixed (NMO),16. Other ethnic group,3. Other,30280
9t2J.00,,16. Other ethnic group,3. Other,111806
226..11,,17. Not Stated,5. Not Stated,12332
9t0G.00,,16. Other ethnic group,3. Other,110555
9iA..00,other asian background - ethnic category 2001 census,11. Other Asian,1. South Asian,12513
9iFK.00,Any other group - ethnic category 2001 census,16. Other ethnic group,3. Other,26455
9t03.00,white: other white backgrd- eng+wales ethnic cat 2011 census,3. Other White,0. White,110407
9S10.00,white british,1. British,0. White,12446
9iFG.00,Latin American - ethnic category 2001 census,16. Other ethnic group,3. Other,26246
1342.00,african origin,13. African,2. Black,45125
9t22.00,white: irish - scotland ethnic category 2011 census,2. Irish,0. White,110687
9iD1.00,Nigerian - ethnic category 2001 census,14. Other Black,2. Black,32886
9iFC.00,Israeli - ethnic category 2001 census,16. Other ethnic group,3. Other,46964
9i20.00,english - ethnic category 2001 census,3. Other White,0. White,12352
9i2T.00,other white or white unspecified ethnic category 2001 census,3. Other White,0. White,12591
9i29.00,Turkish - ethnic category 2001 census,3. Other White,0. White,12746
2263.11,o/e - asian origin,11. Other Asian,1. South Asian,32132
9iF6.00,Jewish - ethnic category 2001 census,16. Other ethnic group,3. Other,46063
9iG..00,Ethnic category not stated - 2001 census,17. Not Stated,5. Not Stated,12459
9T1B.00,south east asian,16. Other ethnic group,3. Other,46649
9SA7.00,indian sub-continent (nmo),11. Other Asian,1. South Asian,39696
9S47.00,black - other asian,14. Other Black,2. Black,35350
9S42.13,black guyana,14. Other Black,2. Black,32100
9i62.00,black and white - ethnic category 2001 census,7. Other Mixed,4. Mixed,40110
9iF5.00,Hindu - ethnic category 2001 census,16. Other ethnic group,3. Other,56127
9iE..00,Chinese - ethnic category 2001 census,15. Chinese,3. Other,12468
9SA4.00,n african arab/iranian (nmo),16. Other ethnic group,3. Other,24962
9iD3.00,mixed black - ethnic category 2001 census,14. Other Black,2. Black,40096
9t...00,,17. Not Stated,5. Not Stated,110472
9SC..00,Vietnamese,16. Other ethnic group,3. Other,25411
9T1A.00,,16. Other ethnic group,3. Other,46752
9i9..00,bangladeshi or british bangladeshi - ethn categ 2001 census,10. Bangladeshi,1. South Asian,28888
9i10.00,white irish - ethnic category 2001 census,2. Irish,0. White,98213
9S52.00,other black - black/asian orig,7. Other Mixed,4. Mixed,32165
9iAA.00,other asian or asian unspecified ethnic category 2001 census,11. Other Asian,1. South Asian,28935
9t28.00,"asian: indian, indian scot/indian brit- scotland 2011 census",8. Indian,1. South Asian,111368
9i28.00,Greek Cypriot - ethnic category 2001 census,3. Other White,0. White,12769
9S43.12,black arab,14. Other Black,2. Black,57752
9SB6.00,black african and white,5. White and Black African,4. Mixed,32443
1347.00,indian origin,8. Indian,1. South Asian,45144
9iA4.00,Sri Lankan - ethnic category 2001 census,11. Other Asian,1. South Asian,12608
9t0A.00,asian/asian brit: bangladeshi- eng+wales eth cat 2011 census,10. Bangladeshi,1. South Asian,110590
9t16.00,asian or asian british: indian - ni ethnic cat 2011 census,8. Indian,1. South Asian,110422
9SAC.00,other european (nmo),16. Other ethnic group,3. Other,12633
9t12.00,mixed: white and black caribbean - ni ethnic cat 2011 census,4. White and Black Caribbean,4. Mixed,110661
9i65.00,Other Mixed or Mixed unspecified ethnic category 2001 census,7. Other Mixed,4. Mixed,32408
9SB1.00,"other ethnic, black/white orig",7. Other Mixed,4. Mixed,47401
9SA4.12,Iranian (NMO),16. Other ethnic group,3. Other,25082
9t1F.00,,16. Other ethnic group,3. Other,110646
9i64.00,asian and chinese - ethnic category 2001 census,7. Other Mixed,4. Mixed,47005
9i63.00,chinese and white - ethnic category 2001 census,7. Other Mixed,4. Mixed,12706
134H.00,race: afro-caribbean,14. Other Black,2. Black,25894
9i2M.00,Croatian - ethnic category 2001 census,3. Other White,0. White,28866
9S1..00,white,1. British,0. White,22467
9i...00,Ethnic category - 2001 census,17. Not Stated,5. Not Stated,12435
9t25.00,white: other white ethnic grp- scotland ethnic cat 2011 cens,3. Other White,0. White,110695
9t29.00,"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",10. Bangladeshi,1. South Asian,112225
9iF0.00,Vietnamese - ethnic category 2001 census,16. Other ethnic group,3. Other,12719
