medcode,readterm,cci_1mi,cci_1ccf,cci_1pad,cci_1stroke,cci_1dement,cci_1resp,cci_1ctd,cci_1peptic,cci_1liver,cci_2hemi,cci_2renal,cci_2diabcomp,cci_2cancer,cci_2leuk,cci_2lymph,cci_3liver,cci_6mets,cci_6hiv
15661,Dressler's syndrome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17133,Mural thrombosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17872,Acute anteroseptal infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18842,Subsequent myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21854,Left ventricular thrombosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23708,Atrial septal defect/curr comp folow acut myocardal infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23892,Posterior myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24126,Haemopericardium/current comp folow acut myocard infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26966,ECG: S-T elevation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26972,ECG:posterior/inferior infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26975,ECG: antero-septal infarct.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28736,Acute atrial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29553,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29643,Acute inferoposterior infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29758,Acute transmural myocardial infarction of unspecif site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30330,Acute Q-wave infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30421,Cardiac rupture following myocardial infarction (MI),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32272,Postoperative myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32854,Acute posterolateral myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34803,Other acute myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35119,Post infarction pericarditis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36423,Certain current complication follow acute myocardial infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37657,Ventric septal defect/curr comp fol acut myocardal infarctn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38609,Subsequent myocardial infarction of inferior wall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39449,Coronary thrombosis not resulting in myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40429,Acute anteroapical infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40996,Percut translum coronary thrombolytic therapy- streptokinase,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41221,Acute septal infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41835,Postoperative subendocardial myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45809,Subsequent myocardial infarction of anterior wall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46017,Other acute myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46112,Postoperative transmural myocardial infarction anterior wall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46166,Subsequent myocardial infarction of unspecified site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46276,Postoperative transmural myocardial infarction inferior wall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52705,ECG: lateral infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55401,ECG: subendocardial infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59032,ECG: myocardial infarct NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59189,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59940,Ruptur chordae tendinae/curr comp fol acute myocard infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61670,Diab mellit insulin-glucose infus acute myocardial infarct,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
62626,Acute papillary muscle infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63467,True posterior myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68357,Microinfarction of heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68748,"Postoperative myocardial infarction, unspecified",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69474,Rupture papillary muscle/curr comp fol acute myocard infarct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72562,Subsequent myocardial infarction of other sites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96838,[X]Acute transmural myocardial infarction of unspecif site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99991,[X]Subsequent myocardial infarction of unspecified site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106812,Postoperative transmural myocardial infarction unspec site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109035,[X]Subsequent myocardial infarction of other sites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23707,Acute congestive heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Congestive heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Left ventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,Cardiac failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,Heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,Congestive cardiac failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4024,Heart failure NOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5255,Acute left ventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5942,Impaired left ventricular function,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7251,Impaired left ventricular function,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8966,Left ventricular systolic dysfunction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9524,Biventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9913,Heart failure confirmed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10079,Right heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,Right ventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11424,Compensated cardiac failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12550,Left ventricular diastolic dysfunction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13189,New York Heart Association classification - class II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17278,Cardiac failure NOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19066,New York Heart Association classification - class III,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19380,Heart failure review completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21837,Hypertensive heart&renal dis wth (congestive) heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23481,Asthma - cardiac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24503,Cardiac failure therapy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26242,New York Heart Assoc classification heart failure symptoms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27884,Decompensated cardiac failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27964,Acute heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32671,Chronic congestive heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32898,Admit heart failure emergency,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46672,New York Heart Assoc classification heart failure symptoms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46912,H/O: Heart failure in last year,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51214,New York Heart Association classification - class IV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52127,Benign hypertensive heart disease with CCF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57987,Hyperten heart&renal dis+both(congestv)heart and renal fail,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
62718,Hypertensive heart disease NOS with CCF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66306,Heart failure as a complication of care,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68682,Cardiac insufficiency as a complication of care,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72668,Malignant hypertensive heart disease with CCF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94870,Congestive heart failure due to valvular disease,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96799,Post cardiac operation heart failure NOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103732,Has heart failure management plan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104275,Right ventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105542,Preferred place of care for next exacerbation heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106897,Heart failure with preserved ejection fraction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104333,Diastolic dysfunction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104876,Right ventricular diastolic dysfunction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6434,Paroxysmal nocturnal dyspnoea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107397,Left ventricular cardiac dysfunction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15058,H/O: heart failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100784,Heart failure resolved,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101137,HFNEF - heart failure with normal ejection fraction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101138,Heart failure with normal ejection fraction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18853,New York Heart Association classification - class I,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17851,Heart failure follow-up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30779,Heart failure annual review,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83502,Heart failure 6 month review,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106198,Heart failure self-management plan agreed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32945,Heart failure care plan discussed with patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7321,Pulmonary oedema NOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26082,Chronic pulmonary oedema,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39706,Postoperative pulmonary oedema,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43618,Pulmonary oedema - acute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48466,"Acute oedema of lung, unspecified",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102627,Worsening pulmonary oedema,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Acute pulmonary oedema unspecified,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,Pulmonary congestion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5155,O/E - pulmonary oedema,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5293,Acute pulmonary oedema NOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22262,Rheumatic left ventricular failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20324,[D]Cardiorespiratory failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8464,Acute cor pulmonale,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695,Chronic cor pulmonale,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16521,Dissecting aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102725,"[X]Aortic aneurysm of unspecified site, ruptured",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101195,Aneurysm of suprarenal aorta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1735,Aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6872,Aortic aneurysm NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16034,Aortic aneurysm without mention of rupture NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102719,"[X]Aortic aneurysm of unspecified site, nonruptured",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17345,AAA - Abdominal aortic aneurysm without mention of rupture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17767,Abdominal aortic aneurysm which has ruptured,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,Abdominal aortic aneurysm without mention of rupture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,Aortic atherosclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31900,Aortic bifurcation syndrome,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98277,Aortic root dilatation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16993,H/O: aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28109,Inflammatory abdominal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101379,Infrarenal abdominal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45521,Juxtarenal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9759,Leaking abdominal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13572,Ruptured abdominal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15304,Ruptured aortic aneurysm NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63920,Ruptured suprarenal aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16800,Ruptured thoracic aortic aneurysm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27563,Thoracic aortic aneurysm which has ruptured,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23532,Thoracic aortic aneurysm without mention of rupture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11430,"Thoracoabdominal aortic aneurysm, ruptured",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40787,"Thoracoabdominal aortic aneurysm, without mention of rupture",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105621,[X]Aneurysm of aorta in diseases classified elsewhere,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44835,Embolism and thrombosis of a leg artery NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30495,Embolism and thrombosis of an arm artery NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44085,Embolism and thrombosis of an arm or leg artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41597,Embolism and thrombosis of other arteries NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32235,Embolism and thrombosis of other specified artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69232,Embolism and thrombosis of the anterior tibial artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31460,Embolism and thrombosis of the axillary artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34159,Embolism and thrombosis of the brachial artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47665,Embolism and thrombosis of the coeliac artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71860,Embolism and thrombosis of the dorsalis pedis artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,Embolism and thrombosis of the femoral artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27494,Embolism and thrombosis of the iliac artery unspecified,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4539,Embolism and thrombosis of the popliteal artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99532,Embolism and thrombosis of the posterior tibial artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29372,Embolism and thrombosis of the radial artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6900,Embolism and thrombosis of the subclavian artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62368,Embolism and thrombosis of the ulnar artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54865,Embolism and/or thrombosis of the common iliac artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56919,Embolism and/or thrombosis of the external iliac artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32634,Embolism and/or thrombosis of the internal iliac artery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15302,Peripheral arterial embolism and thrombosis NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109425,[X]Embolism and thrombosis of other arteries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28004,Arterial embolic and thrombotic occlusion,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4289,Arterial embolism and thrombosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3714,Arterial embolism and thrombosis NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8998,Arterial embolus and thrombosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107071,ARAS - Atherosclerotic renal artery stenosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16284,Renal artery atherosclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23871,Peripheral angiopathic disease EC NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100579,[X]Atherosclerosis of other arteries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,Arteriosclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3995,Arteriosclerotic vascular disease NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5640,Atherosclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36609,Atherosclerotic cardiovascular disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56621,Cardiovascular arteriosclerosis unspecified,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5168,Other specified artery atheroma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37199,Carotid artery atherosclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51804,Monckeberg's medial sclerosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4970,[D]Gangrene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37750,[D]Gangrene NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73961,[X]Other specified peripheral vascular diseases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23497,Buerger's disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6853,Claudication,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7975,Claudication distance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12735,Gangrene of foot,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,Gangrene of toe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,Intermittent claudication,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,Ischaemia of legs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98174,Ischaemic foot,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6308,Ischaemic leg ulcer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9561,Ischaemic toe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40068,Presenile gangrene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34638,Thromboangiitis obliterans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67401,Thromboangiitis obliterans NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101866,Vascular claudication,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9204,Peripheral gangrene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14797,Extremity artery atheroma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16260,Extremity artery atheroma NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18423,Arterial insufficiency,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38907,Other specified peripheral vascular disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4325,Other specified peripheral vascular disease NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6827,Peripheral ischaemia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5702,Peripheral ischaemic vascular disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105317,Peripheral arterial disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,Peripheral vascular disease NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,Peripheral vascular disease NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39949,Gangrene of finger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23672,Gangrene of hand,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5943,Other peripheral vascular disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93060,Emerg replace aneurysm thor aorta by anastom aorta to aorta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43108,Other replacement of aneurysmal segment of aorta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36651,Other replacement of aneurysmal segment of aorta NOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55445,Other replacement of aneurysmal segment of aorta OS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,Aortic aneurysm repair,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34153,Axillo-bifemoral bypass graft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40302,Axillo-unifemoral PTFE bypass graft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102684,Bypass aorta anastomosis axillary artery bi femoral arteries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2761,Bypass bifurc aorta by anastom aorta to femoral artery NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32492,Bypass common iliac artery by aorta/com iliac art anast NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67982,Bypass femoral artery by fem/peron a anast c prosthesis NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53675,Bypass femoral artery by fem/peron a anast c vein graft NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27580,Bypass femoral artery by fem/pop art anast c prosthesis NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28030,Bypass femoral artery by fem/pop art anast c vein graft NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39877,Bypass femoral artery by fem/tib art anast c prosthesis NEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
